iter	MultiClass
0	1.378271782
1	1.356004038
2	1.340522487
3	1.324808489
4	1.317214553
5	1.309721443
6	1.296116216
7	1.295664829
8	1.295361886
9	1.295158439
10	1.286454804
11	1.286385264
12	1.279576899
13	1.273046444
14	1.271640189
15	1.269180366
16	1.266345337
17	1.263031991
18	1.261477903
19	1.257196798
20	1.253933992
21	1.250539719
22	1.249531226
23	1.247035175
24	1.244364511
25	1.241975376
26	1.240153625
27	1.238173129
28	1.236379941
29	1.234749407
30	1.233260775
31	1.231896504
32	1.230641717
33	1.229483736
34	1.22841172
35	1.227416357
36	1.226489616
37	1.225624541
38	1.224815088
39	1.224055977
40	1.223342581
41	1.222670831
42	1.222037134
43	1.221438302
44	1.220871504
45	1.22033421
46	1.219824157
47	1.219339312
48	1.218877841
49	1.218438091
50	1.21805747
51	1.21765409
52	1.217268685
53	1.216900059
54	1.216547127
55	1.216208897
56	1.215884464
57	1.215572998
58	1.215273737
59	1.214985978
60	1.214709075
61	1.214442427
62	1.21418548
63	1.21393772
64	1.213698666
65	1.213467874
66	1.213244928
67	1.213029439
68	1.212821047
69	1.212619409
70	1.21242421
71	1.212235149
72	1.212051947
73	1.211874339
74	1.211702079
75	1.211534931
76	1.211372675
77	1.211215104
78	1.211062021
79	1.21091324
80	1.210768586
81	1.210627891
82	1.210490999
83	1.21035776
84	1.210228032
85	1.21010168
86	1.209978577
87	1.209858601
88	1.209741636
89	1.209627572
90	1.209516305
91	1.209407734
92	1.209301764
93	1.209198304
94	1.209097268
95	1.208998572
96	1.208902138
97	1.20880789
98	1.208715755
99	1.208625664
