iter	Passed	Remaining
0	58	5823
1	61	3016
2	62	2032
3	65	1570
4	66	1256
5	66	1046
6	67	895
7	67	778
8	67	687
9	68	614
10	70	571
11	70	519
12	72	482
13	75	460
14	75	427
15	75	398
16	76	373
17	77	354
18	78	332
19	80	322
20	81	308
21	84	298
22	84	283
23	86	272
24	88	264
25	90	257
26	91	247
27	94	241
28	96	236
29	98	230
30	100	224
31	102	218
32	104	213
33	107	208
34	109	203
35	111	198
36	113	193
37	115	188
38	117	184
39	119	179
40	122	175
41	124	171
42	126	167
43	128	163
44	130	159
45	132	155
46	134	151
47	136	148
48	138	144
49	141	141
50	142	136
51	144	133
52	146	129
53	148	126
54	150	123
55	152	120
56	155	117
57	157	114
58	159	111
59	162	108
60	164	105
61	166	101
62	168	98
63	170	96
64	172	93
65	174	90
66	176	87
67	179	84
68	181	81
69	183	78
70	185	75
71	187	72
72	189	70
73	191	67
74	194	64
75	196	61
76	198	59
77	200	56
78	202	53
79	204	51
80	206	48
81	208	45
82	210	43
83	212	40
84	215	37
85	217	35
86	219	32
87	221	30
88	223	27
89	225	25
90	227	22
91	229	19
92	231	17
93	233	14
94	236	12
95	238	9
96	240	7
97	242	4
98	244	2
99	246	0
